id	timestamp	hypothesis	change_summary	issue_number	pr_number	score_before	score_after	delta	verdict	cost_usd	notes
1	2026-04-11T18:00:39.162536	Fix 3 mypy errors in profile.py and runner.py	Added EvalTier type alias, fixed None path handling, fixed returncode type. Type_check 0.75 → 1.0. Composite 0.966 → 1.0.						keep		
2	2026-04-11T18:36:00.640123	Rewrite factory evals with meaningful metrics	6 domain-specific dimensions: tests, lint, type_check, coverage (parsed %), guard_patterns, config_parser. Coverage correctly reports 75% (was 1.0). Score recalibrated.	5	10				keep		
10	2026-04-11T20:20:05.356030	Add factory study command to read interaction logs	New factory/study.py module + cmd_study CLI handler + 19 tests	11	16				keep		
11	2026-04-11T20:20:05.448968	Fix experiment state persistence and add status command	finalize() mkdir, begin() idempotent, cmd_status + 8 tests	12	17				keep		
13	2026-04-11T20:20:05.538420	Increase test coverage above 80%	telegram, templates, CLI, state tests — 75% to 89% coverage, 59 new tests	14	18				keep		
15	2026-04-11T20:22:01.092195	Fix cmd_run and SKILL.md to use uv run	cmd_run reads SKILL.md, passes --dangerously-skip-permissions, 27 uv run replacements in SKILL.md	13	19				keep		
17	2026-04-11T20:46:11.946035	Wire up Obsidian integration with factory archive command	cmd_archive handler + 4 tests, wires up dead Obsidian modules	21	25				keep		
16	2026-04-11T20:48:04.539010	Accept GitHub URL in factory run	cmd_run accepts GitHub URLs, auto-clones, --mode flag, 14 new tests	20	26				keep		
18	2026-04-11T20:50:21.312359	Wire up all 6 agent roles in SKILL.md Improve mode	Added Researcher (step 0), enhanced Strategist, Evaluator before/after, Builder, Reviewer with --check-scope, and Archivist with archive command	24	27				keep		
20	2026-04-11T20:53:43.096180	Add heartbeat loop to factory run — persistent autonomous operation with --loop flag	Added --loop, --interval, --max-cycles flags; graceful SIGTERM/SIGINT; cycle logging; 12 new tests	23	28				keep		
19	2026-04-11T20:54:56.835845	Add web search to factory study — Researcher finds inspiration from similar projects	Added _extract_keywords, _search_similar_projects (gh search repos), _read_obsidian_notes; study output now includes Similar Projects and Prior Knowledge sections; 20 new tests	22	29				keep		
21	2026-04-11T21:28:58.701842	Dedicated factory Obsidian vault with per-project structure and provenance tagging	New vault at ~/obsidian-vaults/factory/ with 00-Factory, 10-Projects, 20-Knowledge structure; init_vault, auto_init, update_memory_index; provenance tags; 12 new tests		30				keep		
22	2026-04-11T21:38:14.065484	Deep researcher subagent with WebSearch/WebFetch and vault-based knowledge	Dual-mode researcher prompt (Discovery + Research), .claude/agents/researcher.md subagent, SKILL.md Step 0 deep research, research.md wired into Strategist		31				keep		
24	2026-04-11T21:44:52.615535	Wire obsidian-cli into factory notes and agent prompts	Added _obsidian_create/read/search wrappers with fallback; archivist prompt uses obsidian-cli; Obsidian Integration section in SKILL.md; 6 new CLI tests		32				keep		
25	2026-04-11T21:50:05.163223	CEO refactor — factory as orchestrator with async archivist and delegated eval/guard	Factory delegates eval/guard to agents; archivist spawned async after research/strategy/decisions; parallel execution protocol; persona decision framework; invoke_agents_parallel()		33				keep		
27	2026-04-13T21:59:01.955810	Add structured logging to uninstrumented modules	Added structlog to store.py, digest.py, state.py, introspect.py, obsidian/notes.py. Observability function coverage improved from 26% to ~50%. Configured structlog to stderr to avoid breaking JSON stdout.	36	37				keep		
28	2026-04-13T22:03:10.549849	Implement FEEC priority heuristic in strategist	Added factory/strategy.py with FEEC categorization (Fix>Exploit>Explore>Combine), stuck detection, and hypothesis ranking. Updated strategist prompt with FEEC framework. 41 new tests, coverage 80%->81%.	38	39				keep		
29	2026-04-13T22:26:35.040766	Fix 5 mypy type errors in insights.py and study.py — variable shadowing and object type cast	New cross-project insights module, fixed variable shadowing (p reuse) in insights.py and object->str cast in study.py. type_check 0.75->1.0.	0	40				keep		
30	2026-04-13T22:29:07.487203	Add structlog logging to insights.py and discovery/profile.py	Added structured logging to 2 uninstrumented modules. Function logging coverage improved.	0	41				keep		
31	2026-04-18T12:32:37.552376	Fix config_parser eval — convert to sync parsing to avoid asyncio.run() inside running event loop	Added sync _parse_factory_md() helper in hygiene.py, replacing async ExperimentStore.reparse_config() call. config_parser 0.0→1.0, composite 0.802→0.850	43	44				keep		ceo:keep score_delta=+0.0475 agents_spawned=R,S,B archivist_spawned=true
32	2026-04-18T12:40:01.996840	Add factory export command — portable project snapshot as JSON	Added cmd_export to cli.py: dumps config, eval_profile, experiments, strategy as JSON to stdout. 4 new tests. capability_surface 169→171.	45	46				keep		ceo:keep score_delta=+0.045 agents_spawned=R,S,B archivist_spawned=true
33	2026-04-18T12:47:27.704663	Add structured logging to dashboard module — instrument all 9 functions in app.py	Added structlog to all 9 functions in factory/dashboard/app.py. observability 0.783→0.805, function coverage 46%→51%.	47	48				keep		ceo:keep score_delta=+0.047 agents_spawned=R,S,B archivist_spawned=true
34	2026-04-18T13:29:25.629783	Add sparklines to project cards + Chart.js radar modal for dimension breakdowns	SVG sparklines on project cards, Chart.js radar chart modal for 11 eval dimensions, /api/projects/{name}/dimensions endpoint, score color coding, 10 new tests	49	50	0.852	0.850	-0.002	keep		ceo:keep score_delta=-0.002 agents_spawned=R,S,B archivist_spawned=true capability_surface=0.611->0.614
35	2026-04-18T13:34:18.683204	Add KPI summary strip with aggregate metrics above the main dashboard grid	New /api/summary endpoint, 80px KPI strip with 4 cards (Projects, Avg Score, Experiments with keep/revert bar, Keep Rate), responsive layout, 3 new tests	51	52				keep		ceo:keep score_delta=-0.004 agents_spawned=R,S,B archivist_spawned=true capability_surface=0.614->0.618
36	2026-04-18T13:38:58.657232	Add score history line chart with hygiene/growth breakdown and keep/revert markers	Chart.js line chart with table/chart toggle, 3 datasets (composite, hygiene avg, growth avg), keep/revert point markers, tooltips with hypothesis/delta/verdict, 1 new test	53	54				keep		ceo:keep score_delta=-0.006 agents_spawned=R,S,B archivist_spawned=true frontend_only=true
